topic,label,response
elementary_mathematics,B,B
college_mathematics,D,D
college_mathematics,D,D
elementary_mathematics,B,B
college_mathematics,B,B
high_school_mathematics,C,C
elementary_mathematics,A,A
college_mathematics,D,D
high_school_mathematics,A,A
high_school_mathematics,C,C
high_school_mathematics,D,D
high_school_mathematics,C,C
college_mathematics,A,C
college_mathematics,A,B
high_school_mathematics,A,A
college_mathematics,D,D
high_school_mathematics,B,B
elementary_mathematics,A,A
elementary_mathematics,A,C
high_school_mathematics,B,A
elementary_mathematics,B,B
elementary_mathematics,B,B
high_school_mathematics,C,D
college_mathematics,C,C
elementary_mathematics,D,D
elementary_mathematics,D,D
elementary_mathematics,B,B
college_mathematics,D,D
elementary_mathematics,A,A
elementary_mathematics,D,D
elementary_mathematics,D,D
college_mathematics,A,C
elementary_mathematics,C,C
elementary_mathematics,B,B
elementary_mathematics,D,D
college_mathematics,C,C
high_school_mathematics,C,C
elementary_mathematics,A,D
college_mathematics,D,D
college_mathematics,A,C
high_school_mathematics,A,A
elementary_mathematics,D,D
high_school_mathematics,A,A
college_mathematics,A,B
elementary_mathematics,D,C
college_mathematics,C,B
college_mathematics,B,B
high_school_mathematics,B,B
college_mathematics,B,B
high_school_mathematics,C,C
college_mathematics,B,C
college_mathematics,C,C
high_school_mathematics,D,D
elementary_mathematics,C,C
high_school_mathematics,D,D
high_school_mathematics,D,D
high_school_mathematics,C,C
college_mathematics,B,B
high_school_mathematics,B,D
high_school_mathematics,D,A
